county_fips,State,County,food_access_score,PovertyRate,MedianFamilyIncome,lapop1share,lalowi1share,vehicle_barrier_rate,Pop2010,TractHUNV,state_abbrev,county_label_medicare,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI07_HYPRTNSN_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40
27089,Minnesota,Marshall County,0.4390709263601266,7.375,74925.5,84.75,21.285,0.01751140547849265,2359.75,42.25,MN,Marshall,2337,,,,
27091,Minnesota,Martin County,0.41366384728611555,12.35,68777.33333333333,75.785,18.595,0.019823098365699284,3473.3333333333335,77.5,MN,Martin,5810,,,,
27093,Minnesota,Meeker County,0.43022197575883286,7.916666666666667,73446.66666666667,82.14666666666666,20.418333333333333,0.02277812981445285,3883.3333333333335,85.33333333333333,MN,Meeker,5819,,,,
27095,Minnesota,Mille Lacs County,0.4127805116832023,12.285714285714286,63516.0,72.09857142857143,22.22,0.025047500664701645,3728.1428571428573,97.85714285714286,MN,Mille Lacs,6841,,,,
27097,Minnesota,Morrison County,0.44502312988035003,10.85,66998.25,82.20125,22.75125,0.02385186387305019,4149.75,106.875,MN,Morrison,8944,,,,
27099,Minnesota,Mower County,0.33701752882367025,12.933333333333334,70170.44444444444,56.20222222222222,14.704444444444444,0.027885839205743463,3512.4444444444443,110.11111111111111,MN,Mower,9074,,,,
27101,Minnesota,Murray County,0.3492659349720946,6.966666666666666,77695.0,64.52666666666666,14.636666666666668,0.016625874231294167,2908.3333333333335,53.333333333333336,MN,Murray,2490,,,,
27103,Minnesota,Nicollet County,0.3587196098958293,9.27142857142857,81281.28571428571,67.17,12.81,0.027852116000948585,4675.285714285715,125.71428571428571,MN,Nicollet,6920,,,,
27105,Minnesota,Nobles County,0.361449741981864,13.133333333333333,65683.0,60.785,17.263333333333332,0.0255608587043168,3563.0,98.83333333333333,MN,Nobles,4229,,,,
27107,Minnesota,Norman County,0.3678798523604628,10.566666666666668,67056.0,63.27666666666667,18.886666666666667,0.020765052628243866,2284.0,46.333333333333336,MN,Norman,1748,,,,
27109,Minnesota,Olmsted County,0.2692313602002221,8.236,97791.64,49.2384,6.272,0.019106375167122838,4837.68,86.64,MN,Olmsted,31514,,,,
27111,Minnesota,Otter Tail County,0.4120767481632855,8.941176470588236,72157.29411764706,77.42470588235294,18.941764705882353,0.019872093879417994,3370.764705882353,80.82352941176471,MN,Otter Tail,18078,,,,
27113,Minnesota,Pennington County,0.29653067996975707,9.3,75467.2,49.724000000000004,11.256,0.030717944980364297,2786.0,94.6,MN,Pennington,3158,,,,
27115,Minnesota,Pine County,0.45698271138607716,12.7125,59628.0,81.62375,25.96,0.0176743249815724,3718.75,68.5,MN,Pine,8155,,,,
27117,Minnesota,Pipestone County,0.36320392690624026,11.139999999999999,66778.4,62.448,17.238,0.028559077980914283,1919.2,57.6,MN,Pipestone,2360,,,,
27119,Minnesota,Polk County,0.3478645681861897,12.9,78513.7,60.714999999999996,13.993,0.029924271476974,3160.0,88.8,MN,Polk,7230,,,,
27121,Minnesota,Pope County,0.3696113279652731,7.3500000000000005,75014.75,68.75750000000001,16.1625,0.01524312408321795,2748.75,44.5,MN,Pope,3369,,,,
27123,Minnesota,Ramsey County,0.2207421321083584,11.72948717948718,87218.55128205128,30.586025641025643,7.477307692307693,0.035364116988752664,4288.333333333333,147.15384615384616,MN,Ramsey,100198,,,,
27125,Minnesota,Red Lake County,0.5102367293799791,9.649999999999999,76291.0,100.0,26.494999999999997,0.0207645388046937,2044.5,43.0,MN,Red Lake,1004,,,,
27127,Minnesota,Redwood County,0.3960118304151293,11.783333333333333,64479.0,68.41,21.43166666666667,0.0220345878855386,2676.5,57.166666666666664,MN,Redwood,3841,,,,
27129,Minnesota,Renville County,0.42691735704328493,10.066666666666666,72850.16666666667,79.39666666666666,21.271666666666665,0.019977965279247483,2621.6666666666665,56.166666666666664,MN,Renville,3820,,,,
27131,Minnesota,Rice County,0.28829219048911914,10.761538461538462,82909.07692307692,48.059999999999995,10.731538461538461,0.02396377786579171,4934.0,120.46153846153847,MN,Rice,13189,,,,
27133,Minnesota,Rock County,0.35900761825965627,9.533333333333333,70320.0,64.83333333333333,15.223333333333334,0.010152010306927133,3229.0,33.666666666666664,MN,Rock,2359,,,,
27135,Minnesota,Roseau County,0.41644616529161543,9.42,71801.6,77.646,20.14,0.01607743415867598,3125.8,54.6,MN,Roseau,3638,,,,
27137,Minnesota,St. Louis County,0.3658355252177849,15.454237288135593,70175.1186440678,60.01338983050847,17.93271186440678,0.0425063242088977,3099.6610169491523,112.40677966101696,MN,St. Louis,51975,,,,
27139,Minnesota,Scott County,0.25283218716693456,6.39047619047619,106830.66666666667,46.87238095238096,6.325714285714286,0.013121699300393985,6187.047619047619,79.61904761904762,MN,Scott,22883,,,,
27141,Minnesota,Sherburne County,0.37806381147438706,7.472727272727273,93198.45454545454,75.83363636363636,12.795454545454545,0.011030987399474619,8045.363636363636,89.0,MN,Sherburne,16948,,,,
27143,Minnesota,Sibley County,0.32385704404152044,7.25,74740.25,58.515,12.3575,0.014481080858865075,3806.5,53.75,MN,Sibley,3428,,,,
27145,Minnesota,Stearns County,0.326952713487847,13.13076923076923,76292.69230769231,55.847692307692306,12.48653846153846,0.020569407481492462,5413.692307692308,107.23076923076923,MN,Stearns,31865,,,,
27147,Minnesota,Steele County,0.3245063279322379,8.642857142857142,79274.42857142857,58.60285714285715,11.691428571428572,0.021664737241317785,4709.857142857143,102.57142857142857,MN,Steele,8645,,,,
27149,Minnesota,Stevens County,0.35003438126124115,14.133333333333333,79558.0,60.050000000000004,15.296666666666667,0.0240036877642055,3242.0,85.33333333333333,MN,Stevens,1981,,,,
27151,Minnesota,Swift County,0.34544221346768544,12.475,66319.0,58.79,14.5125,0.022674084029473,2445.75,62.0,MN,Swift,2509,,,,
27153,Minnesota,Todd County,0.45283291741525555,12.8375,63902.375,81.13,25.45375,0.01998466274476285,3111.875,65.25,MN,Todd,6281,,,,
27155,Minnesota,Traverse County,0.2853446462886984,11.2,62098.5,44.480000000000004,10.635000000000002,0.027574729489865203,1779.0,49.0,MN,Traverse,1042,,,,
27157,Minnesota,Wabasha County,0.31034707645296505,6.066666666666666,77571.5,57.13666666666666,10.186666666666666,0.016971142410931984,3612.6666666666665,55.5,MN,Wabasha,6236,,,,
27159,Minnesota,Wadena County,0.3642645708736529,15.133333333333333,57904.333333333336,57.17333333333334,20.686666666666667,0.0226410978194679,4614.333333333333,101.66666666666667,MN,Wadena,4041,,,,
27161,Minnesota,Waseca County,0.41705005182366933,8.82,71289.2,78.488,19.568,0.01684331824434946,3827.2,68.6,MN,Waseca,4436,,,,
27163,Minnesota,Washington County,0.31258704883940064,4.913636363636363,110557.75,63.719545454545454,8.312727272727273,0.01444718558924246,4957.340909090909,68.88636363636364,MN,Washington,54669,,,,
27165,Minnesota,Watonwan County,0.288208711613775,12.333333333333334,69750.0,45.76666666666667,11.036666666666667,0.015181712276182398,3737.0,60.0,MN,Watonwan,2569,,,,
27167,Minnesota,Wilkin County,0.3027387519224192,9.25,70393.5,52.33,9.399999999999999,0.02984633886858775,3288.0,99.0,MN,Wilkin,1583,,,,
27169,Minnesota,Winona County,0.31232234738602127,13.288888888888888,72394.11111111111,51.06555555555556,12.27111111111111,0.025683391396420077,5090.555555555556,128.66666666666666,MN,Winona,11258,,,,
27171,Minnesota,Wright County,0.32605140484211625,5.011764705882353,90191.5294117647,64.30411764705883,9.469411764705884,0.014736448923832341,7335.294117647059,103.58823529411765,MN,Wright,24545,,,,
27173,Minnesota,Yellow Medicine County,0.38015380356682826,12.950000000000001,69547.0,66.83,17.42,0.01937641043140995,2609.5,52.5,MN,Yellow Medicine,2539,,,,
28001,Mississippi,Adams County,0.4678198860033289,34.47777777777778,35562.666666666664,62.0,35.025555555555556,0.03732314724162049,3588.5555555555557,110.88888888888889,MS,Adams,7831,,,,
28003,Mississippi,Alcorn County,0.4829595835100104,16.928571428571427,49900.0,79.7957142857143,33.86,0.016516894240627158,5293.857142857143,88.0,MS,Alcorn,9187,,,,
28005,Mississippi,Amite County,0.5358804337907691,24.76666666666667,42115.333333333336,83.80666666666667,40.93,0.029618454219587698,4377.0,122.0,MS,Amite,3456,,,,
28007,Mississippi,Attala County,0.5077249188465498,22.55,44985.333333333336,78.27666666666666,39.37833333333334,0.034783391210257565,3260.6666666666665,121.66666666666667,MS,Attala,4483,,,,
28009,Mississippi,Benton County,0.5692090465583436,23.200000000000003,47550.0,94.89500000000001,41.85,0.0129954165660008,4364.5,49.5,MS,Benton,2109,,,,
28011,Mississippi,Bolivar County,0.5489106276712267,36.8875,36448.0,75.25375,46.10875,0.05043732822347055,4268.125,194.625,MS,Bolivar,7449,,,,
28013,Mississippi,Calhoun County,0.4294476743512449,27.360000000000003,48757.4,61.577999999999996,28.282,0.03690256191520532,2992.4,100.8,MS,Calhoun,3768,,,,
